#   T         E        M        C        S        dE        dM        dC        dS
1.000  -1.99696  0.99924  0.02425  0.00152  0.000123  0.000031  0.006910  0.000926  
1.254  -1.98362  0.99580  0.09018  0.00826  0.000324  0.000116  0.010951  0.002110  
1.508  -1.94913  0.98591  0.20995  0.03024  0.000827  0.000288  0.018411  0.004895  
1.762  -1.87354  0.96154  0.39786  0.08954  0.001270  0.000527  0.019642  0.006835  
2.016  -1.73484  0.91098  0.64550  0.21729  0.003405  0.001483  0.036247  0.016217  
2.269  -1.56415  0.84268  0.78826  0.35402  0.003578  0.001874  0.027327  0.016254  
2.524  -1.36619  0.75892  0.80369  0.45173  0.003905  0.002084  0.024556  0.016163  
2.778  -1.15832  0.66680  0.71889  0.49199  0.004301  0.002249  0.019651  0.014635  
3.032  -0.99777  0.59189  0.59472  0.47726  0.003532  0.001998  0.013910  0.011625  
3.286  -0.87530  0.53635  0.46856  0.42889  0.003197  0.001907  0.009862  0.009860  
3.540  -0.75800  0.48024  0.36113  0.37381  0.002714  0.001613  0.006031  0.007502  
