#   T         E        M        C        S        dE        dM        dC        dS
1.000  -1.99677  0.99919  0.02580  0.00161  0.000048  0.000012  0.011907  0.001522  
1.254  -1.98297  0.99573  0.08764  0.00693  0.000129  0.000029  0.021760  0.003038  
1.508  -1.94455  0.98566  0.26835  0.02884  0.000285  0.000073  0.030405  0.006047  
1.762  -1.85728  0.95981  0.65347  0.12164  0.000821  0.000375  0.053141  0.020587  
2.016  -1.70242  0.90645  1.06601  0.36353  0.001185  0.000648  0.052932  0.027107  
2.269  -1.41223  0.77027  1.65043  1.23820  0.004118  0.002610  0.128531  0.089877  
2.524  -1.09714  0.58690  1.48459  1.75455  0.002945  0.002580  0.064787  0.067093  
2.778  -0.84679  0.42775  0.91613  1.49261  0.001689  0.001636  0.026518  0.033410  
3.032  -0.68497  0.33155  0.50725  1.00413  0.000938  0.001224  0.010486  0.020375  
3.286  -0.58194  0.26930  0.34230  0.68485  0.000743  0.001269  0.005668  0.018163  
3.540  -0.51405  0.23740  0.27109  0.51770  0.000544  0.000569  0.003208  0.006516  
