#   T         E        M        C        S        dE        dM        dC        dS
1.000  -1.99656  0.99914  0.02749  0.00172  0.000133  0.000033  0.007439  0.000997  
1.254  -1.98040  0.99509  0.09830  0.00775  0.000379  0.000095  0.013496  0.002283  
1.508  -1.94508  0.98555  0.25241  0.02982  0.000862  0.000243  0.019767  0.004328  
1.762  -1.85856  0.96018  0.55135  0.09767  0.001521  0.000480  0.019795  0.006304  
2.016  -1.70517  0.91304  0.86327  0.19417  0.002054  0.000788  0.021053  0.008395  
2.269  -1.51416  0.84850  1.06356  0.31641  0.002374  0.001041  0.017558  0.008724  
2.524  -1.27263  0.75892  1.07540  0.41679  0.003343  0.001561  0.018116  0.011612  
2.778  -1.04224  0.66833  0.96776  0.46364  0.005754  0.002434  0.021368  0.016016  
3.032  -0.88401  0.59010  0.74440  0.46441  0.003668  0.001964  0.011360  0.010672  
3.286  -0.74369  0.53236  0.57395  0.40813  0.002402  0.001215  0.006313  0.006153  
3.540  -0.61902  0.47480  0.37350  0.33604  0.002411  0.001242  0.004459  0.005373  
