#   T         E        M        C        S        dE        dM        dC        dS
1.000  -1.99708  0.99927  0.02323  0.00145  0.000062  0.000015  0.015248  0.001939  
1.254  -1.98292  0.99572  0.08632  0.00681  0.000146  0.000037  0.022783  0.003656  
1.508  -1.95018  0.98658  0.20830  0.02614  0.000304  0.000084  0.031462  0.006756  
1.762  -1.86834  0.96068  0.44549  0.09757  0.000522  0.000199  0.037653  0.012638  
2.016  -1.73081  0.90490  0.77058  0.40193  0.001441  0.000960  0.071672  0.040312  
2.269  -1.46911  0.76083  1.21140  1.34234  0.002990  0.002577  0.101505  0.084259  
2.524  -1.19277  0.58303  1.06443  1.74196  0.003130  0.002992  0.077133  0.078575  
2.778  -0.97489  0.43341  0.72121  1.47022  0.002910  0.002436  0.053537  0.054377  
3.032  -0.83237  0.34669  0.48492  1.07009  0.001790  0.001759  0.025010  0.032617  
3.286  -0.72511  0.27765  0.32712  0.73490  0.002099  0.001977  0.020247  0.028814  
3.540  -0.65308  0.24538  0.25418  0.55626  0.001288  0.001008  0.009453  0.011365  
