#   T         E        M        C        S        dE        dM        dC        dS
1.000  -1.99611  0.99903  0.03102  0.00194  0.000178  0.000044  0.044007  0.005600  
1.254  -1.98018  0.99503  0.10018  0.00791  0.000127  0.000032  0.019801  0.003183  
1.508  -1.94603  0.98642  0.18468  0.01782  0.000188  0.000047  0.019974  0.003889  
1.762  -1.85254  0.96181  0.67074  0.08508  0.000486  0.000126  0.034262  0.008432  
2.016  -1.64659  0.89922  1.97559  0.45138  0.002466  0.000824  0.092636  0.038458  
2.269  -1.29782  0.78363  2.68634  0.92188  0.003798  0.001835  0.098581  0.062035  
2.524  -0.83293  0.57702  2.24125  1.69034  0.004173  0.002391  0.062784  0.058230  
2.778  -0.55998  0.42647  0.60363  1.03881  0.000902  0.001231  0.008974  0.020838  
3.032  -0.40306  0.32365  0.42527  0.79495  0.000672  0.000823  0.004567  0.011829  
3.286  -0.31771  0.26708  0.31880  0.59542  0.000736  0.000686  0.003047  0.007900  
3.540  -0.26219  0.23172  0.25299  0.45634  0.000713  0.000493  0.002297  0.005198  
